problem,answer
 ( ( ( ( (77 / 5) + 15) * 46) * 45) / 2),31464.0
 ( ( ( ( (44 + 19) / 3) / 1) * 33) - 33),660.0
 ( ( ( (55 ^ 3) - 13) * 14) + 38),2329106
 ( ( ( (85 / 8) ^ 3) / 5) - 49),190.89
 ( ( ( ( (87 / 9) * 6) / 1) * 35) + 30),2060.0
 ( ( ( (81 / 9) + 40) + 16) * 15),975.0
 ( ( ( ( (87 / 3) / 3) ^ 2) / 10) ^ 2),87.32
 ( ( ( (9 / 8) * 18) ^ 2) * 33),13532.06
 ( ( ( (14 * 46) + 33) - 3) - 46),628
 ( ( (21 - 27) + 12) * 27),162
 ( ( ( (53 * 35) / 7) + 14) / 7),39.86
 ( ( ( ( (57 + 27) * 44) - 29) ^ 3) / 4),12327435490.75
 ( ( (56 + 16) / 10) / 9),0.8
 ( ( ( (63 + 28) * 41) / 3) / 3),414.56
 ( ( (29 / 6) + 27) + 26),57.83
 ( ( ( ( (85 ^ 2) * 6) ^ 2) * 20) / 3),12528150000.0
 ( ( ( (57 / 4) ^ 3) - 43) + 19),2869.64
 ( ( (45 ^ 3) + 49) * 37),3373438
 ( ( ( (77 * 36) + 34) - 6) - 47),2753
 ( ( ( ( (96 ^ 2) / 4) * 28) / 1) / 6),10752.0
 ( ( ( (29 - 40) * 44) - 41) + 41),-484
 ( ( (81 * 41) ^ 2) - 24),11029017
 ( ( ( (41 * 24) - 44) / 2) + 6),476.0
 ( ( ( ( (80 + 40) + 49) - 41) - 17) + 11),122
 ( ( (18 - 15) / 3) - 5),-4.0
 ( ( (100 / 4) - 45) ^ 3),-8000.0
 ( ( (52 - 20) ^ 3) / 9),3640.89
 ( ( ( ( (90 + 49) ^ 3) / 1) * 20) / 7),7673197.14
 ( ( ( ( (6 * 29) + 38) * 47) - 6) * 21),209118
 ( ( ( (15 + 16) ^ 2) / 8) * 43),5165.38
 ( ( ( ( (72 - 44) * 50) + 15) + 21) / 5),287.2
 ( ( (47 * 16) + 16) ^ 2),589824
 ( ( (39 * 14) / 10) ^ 3),162771.34
 ( ( ( ( (78 + 50) - 20) + 38) + 20) ^ 3),4574296
 ( ( ( ( (72 ^ 3) + 27) * 43) / 1) * 39),625982175.0
 ( ( ( (7 - 34) * 40) / 8) + 14),-121.0
 ( ( (88 * 35) * 4) / 5),2464.0
 ( ( (43 - 9) ^ 2) + 49),1205
 ( ( (52 + 21) - 40) / 6),5.5
 ( ( ( (92 - 5) ^ 2) + 45) * 44),335016
 ( ( ( ( (67 * 40) ^ 3) / 7) ^ 3) * 16),3.326894345321209e+29
 ( ( ( (66 / 9) / 5) + 49) - 19),31.47
 ( ( ( ( (68 + 43) ^ 3) + 9) * 8) + 48),10941168
